# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   62       2.299337664608e-10       3.295077855574e-14      -3.025455175550e-13       1.593875388143e-16       3.291790231444e-11       3.721108923994e-12      -1.161547905734e-14 
   63       2.329270871096e-10       3.455121652563e-14      -3.492219988935e-13       1.645852798559e-16       3.171527066839e-11       3.601810246108e-12      -1.164134069303e-14 
   64       2.359485984379e-10       3.619046725703e-14      -3.977432465512e-13       1.698656720505e-16       3.057202439136e-11       3.488768720716e-12      -1.158756138629e-14 
   65       2.389993055466e-10       3.786745008576e-14      -4.480944177394e-13       1.752286686747e-16       2.948537526461e-11       3.381551072474e-12      -1.146903845921e-14 
   66       2.420794916569e-10       3.958095835977e-14      -5.002577418276e-13       1.806742288480e-16       2.845099436610e-11       3.279545371540e-12      -1.130311564271e-14 
   67       2.451886698596e-10       4.132965599846e-14      -5.542124809092e-13       1.862023180298e-16       2.746293335352e-11       3.181952130467e-12      -1.110968267536e-14 
   68       2.483262068145e-10       4.311221461087e-14      -6.099364583812e-13       1.918129167485e-16       2.651521072110e-11       3.087988197880e-12      -1.090744124708e-14 
   69       2.514934484561e-10       4.492776480425e-14      -6.674110924979e-13       1.975060477281e-16       2.560711976288e-11       2.997566315533e-12      -1.070160159571e-14 
   70       2.546919403113e-10       4.677553056169e-14      -7.266173165923e-13       2.032817551775e-16       2.473885967355e-11       2.910737896136e-12      -1.049386038631e-14 
   71       2.579227631509e-10       4.865469692582e-14      -7.875341019604e-13       2.091400977410e-16       2.390993025035e-11       2.827489011193e-12      -1.028601531109e-14 
   72       2.611865019241e-10       5.056441015302e-14      -8.501384585292e-13       2.150811492068e-16       2.311909575853e-11       2.747736930258e-12      -1.007996664084e-14 
   73       2.644832146932e-10       5.250377786755e-14      -9.144054355253e-13       2.211049992151e-16       2.236434879673e-11       2.671326660212e-12      -9.877718776300e-15 
   74       2.678124015684e-10       5.447186921581e-14      -9.803081221425e-13       2.272117539663e-16       2.164287416236e-11       2.598027484525e-12      -9.681381799612e-15 
   75       2.711729736422e-10       5.646771502042e-14      -1.047817648210e-12       2.334015369290e-16       2.095101271700e-11       2.527529502523e-12      -9.493173025730e-15 
   76       2.745638617674e-10       5.849024212571e-14      -1.116902802794e-12       2.396744818638e-16       2.028516815287e-11       2.459524953161e-12      -9.315151205258e-15 
   77       2.779860397239e-10       6.053806227095e-14      -1.187528808222e-12       2.460307088613e-16       1.964479806708e-11       2.393976957148e-12      -9.148359746217e-15 
   78       2.814408152608e-10       6.260964481838e-14      -1.259658322675e-12       2.524703452003e-16       1.902990520897e-11       2.330893721475e-12      -8.993529347364e-15 
   79       2.849292053281e-10       6.470337797053e-14      -1.333251795363e-12       2.589935331872e-16       1.844012643908e-11       2.270246408173e-12      -8.851327619127e-15 
   80       2.884519181322e-10       6.681756757491e-14      -1.408267459367e-12       2.656004307058e-16       1.787471592944e-11       2.211967412149e-12      -8.722355152821e-15 
   81       2.920093351908e-10       6.895043592876e-14      -1.484661324465e-12       2.722912117686e-16       1.733252836391e-11       2.155948639035e-12      -8.607141589866e-15 
