# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08688 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.427512181429e-02       1.765149176327e+04 
       3.443224679612e-02       1.757566970701e+04 
       3.459008537834e-02       1.750006765898e+04 
       3.474865824219e-02       1.742424148923e+04 
       3.490798682753e-02       1.734870796389e+04 
       3.506809336870e-02       1.727337627385e+04 
       3.522900093249e-02       1.719800803983e+04 
       3.539073345847e-02       1.712278896999e+04 
       3.555331580170e-02       1.704767397132e+04 
       3.571677377809e-02       1.697266274351e+04 
       3.588113421261e-02       1.689770811566e+04 
       3.604642499053e-02       1.682297376160e+04 
       3.621267511193e-02       1.674833910639e+04 
       3.637991474971e-02       1.667390481946e+04 
       3.654817531147e-02       1.659928105409e+04 
       3.671748950543e-02       1.652499696179e+04 
       3.688789141083e-02       1.645080901960e+04 
       3.705941655307e-02       1.637660010886e+04 
       3.723210198406e-02       1.630272444768e+04 
       3.740598636826e-02       1.622864140908e+04 
       3.758111007467e-02       1.615490560286e+04 
       3.775751527557e-02       1.608134145396e+04 
       3.793524605239e-02       1.600756660837e+04 
       3.811434850942e-02       1.593419536195e+04 
       3.829487089601e-02       1.586082683340e+04 
       3.847686373817e-02       1.578765948672e+04 
       3.866037998018e-02       1.571446647172e+04 
       3.884547513741e-02       1.564155235190e+04 
       3.903220746125e-02       1.556851314017e+04 
       3.922063811735e-02       1.549549182579e+04 
       3.941083137848e-02       1.542280698109e+04 
       3.960285483347e-02       1.535010582929e+04 
       3.979677961385e-02       1.527761080203e+04 
       3.999268063992e-02       1.520510289994e+04 
       4.019063688841e-02       1.513250118160e+04 
       4.039073168387e-02       1.506021388957e+04 
       4.059305301647e-02       1.498779613042e+04 
       4.079769388898e-02       1.491528570148e+04 
       4.100475269625e-02       1.484306438696e+04 
       4.121433364085e-02       1.477099471200e+04 
       4.142654718896e-02       1.469888875390e+04 
       4.164151057140e-02       1.462683229541e+04 
       4.185934833496e-02       1.455484967825e+04 
       4.208019295036e-02       1.448262475985e+04 
       4.230418548374e-02       1.441061624573e+04 
       4.253147633962e-02       1.433848464028e+04 
       4.276222608483e-02       1.426661573602e+04 
       4.299660636367e-02       1.419433162934e+04 
       4.323480091682e-02       1.412247337388e+04 
       4.347700671806e-02       1.405003124333e+04 
       4.372343524518e-02       1.397779381263e+04 
       4.397431390448e-02       1.390547322808e+04 
       4.422988763089e-02       1.383305926257e+04 
       4.449042069018e-02       1.376059064645e+04 
       4.475619871389e-02       1.368816381336e+04 
       4.502753100316e-02       1.361517165216e+04 
       4.530475314452e-02       1.354223255804e+04 
       4.558822998839e-02       1.346928069688e+04 
       4.587835905095e-02       1.339596662260e+04 
       4.617557441178e-02       1.332238600491e+04 
       4.648035119433e-02       1.324877171682e+04 
       4.679321073392e-02       1.317459745493e+04 
       4.711472656005e-02       1.310006920371e+04 
       4.744553134698e-02       1.302545671110e+04 
       4.778632502054e-02       1.295021266977e+04 
       4.813788425116e-02       1.287417649500e+04 
       4.850107361655e-02       1.279833122859e+04 
       4.887685878402e-02       1.272132016661e+04 
       4.926632214694e-02       1.264395867867e+04 
       4.967068145708e-02       1.256586484684e+04 
       5.009131213056e-02       1.248708832009e+04 
       5.052977407883e-02       1.240735964756e+04 
       5.098784413724e-02       1.232650640079e+04 
       5.146755544534e-02       1.224496543865e+04 
       5.197124549055e-02       1.216212035799e+04 
       5.250161497621e-02       1.207750355180e+04 
       5.306180023218e-02       1.199145779008e+04 
       5.365546255873e-02       1.190344966556e+04 
       5.428689866772e-02       1.181283156722e+04 
       5.496117719219e-02       1.171975002597e+04 
       5.568430689769e-02       1.162339563271e+04 
       5.646344233542e-02       1.152331232394e+04 
       5.730713136578e-02       1.141851047188e+04 
       5.822560453326e-02       1.130801034356e+04 
       5.923109544698e-02       1.119030884718e+04 
       6.033815839016e-02       1.106246681230e+04 
       6.156390527455e-02       1.092364181288e+04 
       6.292800732254e-02       1.076884190257e+04 
       6.445219155408e-02       1.059328394092e+04 
       6.615883327769e-02       1.039199472863e+04 
       6.806821224457e-02       1.015655393752e+04 
       7.019430482567e-02       9.879602226826e+03 
       7.253989462844e-02       9.554443004043e+03 
       7.509308705192e-02       9.178727151103e+03 
       7.782775879871e-02       8.754800338002e+03 
       8.070866713362e-02       8.292629805443e+03 
       8.369884604109e-02       7.809069537354e+03 
       8.676568184488e-02       7.322929730955e+03 
       8.988376581304e-02       6.853576026016e+03 
       9.303495943966e-02       6.416887501747e+03 
       9.620705842740e-02       6.024561336404e+03 
       9.939216321292e-02       5.683341871237e+03 
       1.025852852376e-01       5.394996967044e+03 
       1.057833224524e-01       5.157125711225e+03 
       1.089843641294e-01       4.964080374585e+03 
       1.121872400955e-01       4.807491866775e+03 
       1.153912361437e-01       4.678225130477e+03 
       1.185959171906e-01       4.566232529113e+03 
       1.218010184281e-01       4.461699689843e+03 
       1.250063787094e-01       4.356439860151e+03 
       1.282118999228e-01       4.243652070953e+03 
       1.314175222652e-01       4.118995879700e+03 
       1.346232092115e-01       3.981300859705e+03 
       1.378289383842e-01       3.831291526974e+03 
       1.410346960084e-01       3.671595609844e+03 
       1.442404735453e-01       3.506677941037e+03 
       1.474462656477e-01       3.341416902648e+03 
       1.506520689183e-01       3.181100619426e+03 
       1.538578811551e-01       3.030106347607e+03 
       1.570637008918e-01       2.891891747169e+03 
       1.602695271191e-01       2.768804782068e+03 
       1.634753591134e-01       2.661788948794e+03 
       1.666811963334e-01       2.570643943569e+03 
       1.698870383553e-01       2.493921048224e+03 
       1.730928848337e-01       2.429656242669e+03 
       1.762987354770e-01       2.374957133294e+03 
       1.795045900319e-01       2.326960047465e+03 
       1.827104482736e-01       2.282745207073e+03 
       1.859163099992e-01       2.239696382181e+03 
       1.891221750238e-01       2.194838347046e+03 
       1.923280431773e-01       2.146807441094e+03 
       1.955339143021e-01       2.094509419750e+03 
       1.987397882518e-01       2.037902668991e+03 
       2.019456648901e-01       1.977430254894e+03 
       2.051515440893e-01       1.914040970851e+03 
       2.083574257300e-01       1.849319058967e+03 
       2.115633097003e-01       1.784803994704e+03 
       2.147691958948e-01       1.722211907133e+03 
       2.179750842147e-01       1.662930547264e+03 
       2.211809745669e-01       1.607850115692e+03 
       2.243868668636e-01       1.557811939357e+03 
       2.275927610220e-01       1.512763993536e+03 
       2.307986569640e-01       1.472805047789e+03 
       2.340045546158e-01       1.437376052620e+03 
       2.372104539076e-01       1.406050240519e+03 
       2.404163547734e-01       1.378099322042e+03 
       2.436222571506e-01       1.352470309779e+03 
       2.468281609800e-01       1.328302299053e+03 
       2.500340662053e-01       1.304692283114e+03 
       2.532399727731e-01       1.280775678526e+03 
       2.564458806329e-01       1.256019116987e+03 
       2.596517897365e-01       1.230166029342e+03 
       2.628577000381e-01       1.203097855617e+03 
       2.660636114941e-01       1.175030394900e+03 
       2.692695240630e-01       1.146226741752e+03 
       2.724754377054e-01       1.117085685452e+03 
       2.756813523836e-01       1.087974504026e+03 
       2.788872680616e-01       1.059373543208e+03 
       2.820931847051e-01       1.031821487049e+03 
       2.852991022815e-01       1.005669608994e+03 
       2.885050207595e-01       9.811647797584e+02 
       2.917109401091e-01       9.585235168265e+02 
       2.949168603018e-01       9.377043537889e+02 
       2.981227813103e-01       9.186003827594e+02 
       3.013287031084e-01       9.009311220057e+02 
       3.045346256710e-01       8.844611351795e+02 
       3.077405489740e-01       8.689328780751e+02 
       3.109464729946e-01       8.540801886321e+02 
       3.141523977105e-01       8.395507684443e+02 
       3.173583231007e-01       8.252208172412e+02 
       3.205642491447e-01       8.108792316406e+02 
       3.237701758231e-01       7.962846097561e+02 
       3.269761031172e-01       7.814990275303e+02 
       3.301820310088e-01       7.664209229068e+02 
       3.333879594807e-01       7.512234260143e+02 
       3.365938885162e-01       7.360054773786e+02 
       3.397998180993e-01       7.209541697544e+02 
       3.430057482146e-01       7.061032692988e+02 
       3.462116788472e-01       6.916748500688e+02 
       3.494176099827e-01       6.777470570542e+02 
       3.526235416076e-01       6.643922203349e+02 
